CD_ESTACAO;DT_MEDICAO;HR_MEDICAO;CHUVA
A803;2020-11-14;1800;
A803;2020-11-14;1900;
A803;2020-11-14;2000;
A803;2020-11-14;2200;
A803;2020-11-13;0;
A803;2020-11-13;100;
A803;2020-11-13;200;
A803;2020-11-13;300;
A803;2020-11-13;400;
A803;2020-11-13;700;
A803;2020-11-13;900;
A803;2020-11-13;1000;
A803;2020-11-13;1200;
A803;2020-11-13;1300;
A803;2020-11-13;1400;
A803;2020-11-13;1500;
A803;2020-11-13;1600;
A803;2020-11-13;1700;
A803;2020-11-13;1800;
A803;2020-11-13;2100;
A803;2020-11-13;2200;
A803;2020-11-12;0;
A803;2020-11-12;100;
A803;2020-11-12;300;
A803;2020-11-12;400;
A803;2020-11-12;500;
A803;2020-11-12;600;
A803;2020-11-12;800;
A803;2020-11-12;1000;
A803;2020-11-12;1100;
A803;2020-11-12;1300;
A803;2020-11-12;1600;
A803;2020-11-12;1700;
A803;2020-11-12;2000;
A803;2020-11-11;0;
A803;2020-11-11;300;
A803;2020-11-11;400;
A803;2020-11-11;500;
A803;2020-11-11;600;
A803;2020-11-11;700;
A803;2020-11-11;1100;
A803;2020-11-11;1300;
A803;2020-11-11;1400;
A803;2020-11-11;1600;
A803;2020-11-11;1700;
A803;2020-11-11;1800;
A803;2020-11-11;2000;
A803;2020-11-11;2300;
A803;2020-11-10;100;
A803;2020-11-10;200;
A803;2020-11-10;300;
A803;2020-11-10;600;
A803;2020-11-10;700;
A803;2020-11-10;800;
A803;2020-11-10;1000;
A803;2020-11-10;1100;
A803;2020-11-10;1200;
A803;2020-11-10;1400;
A803;2020-11-10;1600;
A803;2020-11-10;1700;
A803;2020-11-10;1900;
A803;2020-11-10;2200;
A803;2020-11-10;2300;
A803;2020-11-09;0;
A803;2020-11-09;100;
A803;2020-11-09;200;
A803;2020-11-09;300;
A803;2020-11-09;500;
A803;2020-11-09;600;
A803;2020-11-09;800;
A803;2020-11-09;900;
A803;2020-11-09;1100;
A803;2020-11-09;1200;
A803;2020-11-09;1300;
A803;2020-11-09;1500;
A803;2020-11-09;1600;
A803;2020-11-09;1700;
A803;2020-11-09;2100;
A803;2020-11-09;2200;
A803;2020-11-08;100;
A803;2020-11-08;400;
A803;2020-11-08;500;
A803;2020-11-08;600;
A803;2020-11-08;700;
A803;2020-11-08;1500;
A803;2020-11-08;1600;
A803;2020-11-08;1700;
A803;2020-11-08;2000;
A803;2020-11-08;2100;
A803;2020-11-08;2200;
A803;2020-11-08;2300;
A803;2020-11-07;300;
A803;2020-11-07;700;
A803;2020-11-07;900;
A803;2020-11-07;1100;
A803;2020-11-07;1400;
A803;2020-11-07;1500;
A803;2020-11-07;1600;
A803;2020-11-07;1800;
A803;2020-11-07;1900;
A803;2020-11-07;2000;
A803;2020-11-07;2100;
A803;2020-11-07;2300;
A803;2020-11-06;400;
A803;2020-11-06;500;
A803;2020-11-06;600;
A803;2020-11-06;900;
A803;2020-11-06;1000;
A803;2020-11-06;1500;
A803;2020-11-06;1800;
A803;2020-11-06;2200;
A803;2020-11-05;100;
A803;2020-11-05;200;
A803;2020-11-05;500;
A803;2020-11-05;600;
A803;2020-11-05;700;
A803;2020-11-05;800;
A803;2020-11-05;1200;
A803;2020-11-05;1300;
A803;2020-11-05;1500;
A803;2020-11-05;1700;
A803;2020-11-05;2000;
A803;2020-11-05;2100;
A803;2020-11-05;2200;
A803;2020-11-04;100;
A803;2020-11-04;200;
A803;2020-11-04;400;
A803;2020-11-04;500;
A803;2020-11-04;600;
A803;2020-11-04;700;
A803;2020-11-04;900;
A803;2020-11-04;1000;
A803;2020-11-04;1100;
A803;2020-11-04;1300;
A803;2020-11-04;1500;
A803;2020-11-04;1600;
A803;2020-11-04;1900;
